품명,단가,수량,금액,미송여부
시그니처티/c. 블랙/아이/L,8000,2,16000,Y
시그니처티/c. 블랙/아이/XL,8000,1,8000,Y
안젤라맨투맨/a.,12000,1,12000,Y
안젤라맨투맨/w/bestfl,12000,2,24000,N
안젤라팬츠/a 김,12000,3,36000,Y
안젤라팬츠/b. 블루/M,12000,1,12000,N
안젤라 팬츠/c. 핑크/L,12000,1,12000,Y
에센셜티/a. 아이보리/S,8000,1,8000,N
에센셜 티/a. 아이보리/M,8000,1,8000,Y
에센셜티/a. 아이보리/XL,8000,1,8000,N
올리비아BL/b. 브라운동/,19000,1,19000,Y
젤리 맨투맨/b. 브라운/L,11000,1,11000,N
젤리바지/a. 아이보리/M,5000,5,25000,N
젤리바지/a. 아이보리/L,5000,1,5000,N
젤리바지/a. 아이보리/XL,5000,1,5000,N
젤리바지/b. 브라운/M,5000,3,15000,N
젤리바지/b. 브라운/L,5000,2,10000,N
젤리바지/b. 브라운/XL,5000,2,10000,N
젤리바지/c. 핑크/M,5000,1,5000,N
젤리바지/d. 검정/M,5000,1,5000,N
젤리바지/d. 검정/L,5000,3,15000,N
조거맨투맨/a. 아이보리/M,8000,1,8000,Y
조거팬츠/a.,8000,1,8000,Y
조거팬츠/c. 블루/M,8000,1,8000,Y
조거팬츠/d. 검정/M,8000,1,8000,N
조거팬츠/d. 검정/L,8000,2,16000,N
쫀득레깅스/a. 아이보리/M,6000,2,12000,N
쫀득레깅스/a.,6000,1,6000,N
쫀득레깅스/b. 베이지/M,6000,1,6000,Y
쫀득레깅스/b. 베이지/L,6000,1,6000,Y
쫀득레깅스/b. 베이지/XL,6000,1,6000,N
쫀득레깅스/c. 핑크/M,6000,1,6000,Y
쫀득레깅스/e. 블루/M,6000,1,6000,Y
쫀득레깅스/e. 블루/XL,6000,1,6000,Y
쫀득레깅스/e. 블루/2XL,6000,1,6000,N
쫀득레깅스/f. 검정/L,6000,1,6000,Y
체크레깅스/b. 핑크체크/XL,8000,1,8000,N
치노바지/a. 검정,8000,5,40000,Y
치노바지/b. 꽃/M,8000,1,8000,Y
치노바지/b. 꽃/L,8000,2,16000,N
치노바지/b. 꽃/XL,8000,2,16000,N
치노바지/c. 핑크,8000,3,24000,Y
치노 바지/c. 핑크 리본/XL,8000,1,8000,Y
치노바지/d. 베이지 체크/L,8000,2,16000,N
치노바지/e. 블루 체크/M,8000,1,8000,Y
치노바지/f. 무당,8000,1,8000,Y
치마바지/b.아이보,10000,2,20000,N
클래식 핑크/L,12000,1,12000,Y
클래식 카라티/c. 오브림VXL,12000,2,24000,Y
클래식팬츠/a. 핑크/L,10000,1,10000,N
클래식 팬츠/c. 오트림/XL,10000,1,10000,Y
클래식레깅스/a.브라운/M,7000,1,7000,N
클래식레깅스/b. 아이보리/L,7000,1,7000,N
서머레이스/a,4000,1,4000,N
